State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Male_Literate_pct,Female_Literate_pct,Male_SC_pct,Female_SC_pct,Male_ST_pct,Female_ST_pct,Male_Workers_pct,Female_Workers_pct,Main_Workers_pct,Marginal_Workers_pct,Non_Workers_pct,Cultivator_Workers_pct,Agricultural_Workers_pct,Household_Workers_pct,Other_Workers_pct,Hindus_pct,Muslims_pct,Sikhs_pct,Jains_pct,Buddhists_pct,Others_Religions_pct,Religion_Not_Stated_pct,LPG_or_PNG_Households_pct,Housholds_with_Electric_Lighting_pct,Households_with_Internet_pct,Households_with_Computer_pct,Rural_Households_pct,Urban_Households_pct,Below_Primary_Education_pct,Primary_Education_pct,Middle_Education_pct,Secondary_Education_pct,Higher_Education_pct,Graduate_Education_pct,Other_Education_pct,Literate_Education_pct,Illiterate_Education_pct,Total_Education_pct,Age_Group_0_29_pct,Age_Group_30_49_pct,Age_Group_50_pct,Age not stated_pct,Households_with_Bicycle_pct,Households_with_Car_Jeep_Van_pct,Households_with_Scooter_Motorcycle_Moped_pct,Households_with_Telephone_Mobile_Phone_Landline_only_pct,Households_with_Telephone_Mobile_Phone_Mobile_only_pct,Households_with_Television_pct,Households_with_Telephone_Mobile_Phone_pct,Households_with_Telephone_Mobile_Phone_Both_pct,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car_pct,Ownership_Owned_Households_pct,Ownership_Rented_Households_pct,Type_of_latrine_facility_Pit_latrine_Households_pct,Type_of_latrine_facility_Other_latrine_Households_pct,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households_pct,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households_pct,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households_pct,Main_source_of_drinking_water_Un_covered_well_Households_pct,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households_pct,Main_source_of_drinking_water_Spring_Households_pct,Main_source_of_drinking_water_River_Canal_Households_pct,Main_source_of_drinking_water_Other_sources_Households_pct,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households_pct,Location_of_drinking_water_source_Near_the_premises_Households_pct,Location_of_drinking_water_source_Within_the_premises_Households_pct,Main_source_of_drinking_water_Tank_Pond_Lake_Households_pct,Main_source_of_drinking_water_Tapwater_Households_pct,Main_source_of_drinking_water_Tubewell_Borehole_Households_pct,Location_of_drinking_water_source_Away_Households_pct,Power_Parity_Less_than_Rs_45000_pct,Power_Parity_Rs_45000_90000_pct,Power_Parity_Rs_90000_150000_pct,Power_Parity_Rs_45000_150000_pct,Power_Parity_Rs_150000_240000_pct,Power_Parity_Rs_240000_330000_pct,Power_Parity_Rs_150000_330000_pct,Power_Parity_Rs_330000_425000_pct,Power_Parity_Rs_425000_545000_pct,Power_Parity_Rs_330000_545000_pct,Power_Parity_Above_Rs_545000_pct,Total_Power_Parity_pct
ANDAMAN AND NICOBAR ISLANDS,1917,380581,202871,177710,294281,164377,129904,0,0,0,28530,14731,13799,152535,120889,31646,125910,26625,228046,16567,4781,3727,127460,264296,32413,80984,1286,338,31,564,669,41539,80421,3234,8194,89950,51725,141675,34833,60466,71733,61182,43620,28821,4250,68492,373397,204538,119161,56514,368,17066,6426,23076,2841,67286,5099,63965,78100,7973,65450,53527,30123,2679,219,151,1774,25641,6194,497,1091,2405,1793,6663,25198,56615,1374,79375,482,11563,1879,4069,2741,6810,1073,636,1709,405,737,1142,544,12084,81.02538066,73.09886894,0,0,7.261264547,7.764897867,59.58909849,17.80766417,33.0836274,6.995882611,59.92048999,4.35308121,1.256237174,0.979292187,33.49089944,69.44540058,8.516715233,0.337904415,0.008145441,0.08881158,0.148194471,0.175783867,29.31992236,56.76442562,2.282689254,5.783659785,63.49038292,36.50961708,9.152585126,15.88781363,18.84828722,16.07594704,11.46142346,7.572895126,1.116713656,80.11566526,17.99669453,98.11235979,53.74361831,31.31028612,14.84940131,0.096694265,12.04587965,4.535733192,16.28798306,2.005293806,47.49320628,45.14910888,55.12616905,5.627668961,3.599082407,37.78154226,21.26204341,1.890947591,0.154579142,0.106581966,1.252161638,18.0984648,4.371978119,0.350802894,0.770072349,1.697547203,1.265572613,4.70301747,17.78577731,39.96117875,0.969825304,56.02611611,0.340215281,8.161637551,1.326274925,2.872066349,1.934709723,4.806776072,0.757367214,0.44891477,1.206281983,0.285865537,0.520204694,0.806070231,0.383977413,8.529380625
ANDHRA PRADESH,12489,84580777,42442146,42138631,50556760,28251243,22305517,13878078,6913047,6965031,5918073,2969362,2948711,39422906,24185595,15237311,33037378,6385528,45157871,6491522,16967754,1439137,14524493,74824149,8082412,1129784,40244,36692,53849,9547,404100,7525445,19377222,549284,1763555,17174077,8420919,25594996,9672732,13036342,11566354,9266937,5481749,5069999,687039,27185233,81966385,45815669,23148452,14845225,771431,6754231,562769,3914068,857080,11549740,816992,12358093,13262317,855497,10424003,16498540,4146219,1141558,228797,165673,204395,10085161,1231522,4337080,101574,65270,439959,660427,7834465,9089558,53624,14691570,1451570,4100511,19930,46112,34248,80360,5183,3090,8273,3771,5385,9156,6449,124166,66.56412473,52.93365368,16.28816554,16.52884974,6.996257918,6.997643089,56.98485416,36.15995736,39.06014957,7.549620879,53.39022956,7.67493777,20.06100511,1.701494182,17.17233338,88.46472172,9.555849788,0.047580551,0.063665767,0.043381016,0.011287435,0.477768134,29.40201671,75.7070718,2.146060113,6.890233544,67.09935411,32.90064589,11.4360879,15.41288986,13.67492048,10.95631576,6.481081393,5.99426865,0.812287407,64.76785145,32.14114834,96.90899978,54.16794528,27.36845513,17.55153538,0.912064215,26.38887304,2.198746192,15.2923173,3.348623301,45.1249924,48.28323865,51.8160542,3.342438499,3.191998936,64.46002179,16.19933443,4.460082744,0.893913013,0.647286681,0.798574065,39.40286218,4.811573325,16.94503097,0.396851009,0.255010784,1.71892584,2.580297336,30.60936208,35.51302762,0.209509703,57.40016525,5.671303875,16.02075265,0.077866783,0.180160216,0.133807405,0.313967621,0.020250052,0.012072672,0.032322724,0.014733349,0.021039269,0.035772617,0.025196331,0.485118263
ARUNACHAL PRADESH,4040,1383727,713912,669815,766005,439868,326137,0,0,0,951821,468390,483431,587657,350273,237384,478721,108936,796070,302723,36171,8365,240398,401876,27045,418732,3287,162815,771,362553,6648,76445,171821,5128,21247,270546,105414,375960,163076,203321,177395,124932,90576,60298,6067,441551,1267216,904739,337844,139635,1509,50987,20729,36691,7592,104094,9485,107624,126368,14682,162116,178605,59201,49148,12503,1865,26277,91053,11335,34165,14911,15559,8307,41091,97755,107429,2314,171473,6299,56430,880,2672,1486,4158,556,396,952,141,153,294,172,6456,61.61375632,48.6906086,0,0,65.60892659,72.17380919,49.06389023,35.4402335,34.59649194,7.87265118,57.53085688,21.87736454,2.614027189,0.60452676,17.37322463,29.0430121,1.954504032,0.237546857,0.055719083,11.76641057,26.20119431,0.48044159,20.33328014,45.70193638,1.363974891,5.651399085,71.96137887,28.03862113,11.78527267,14.6937221,12.82008662,9.028659555,6.545799858,4.357651473,0.438453539,59.66964582,31.91026843,91.57991425,65.38421235,24.41550971,10.09122464,0.109053303,13.56181509,5.51361847,9.759282902,2.019363762,27.68751995,28.62644962,33.61208639,3.905202681,2.522874774,47.50638366,15.74662198,13.07266731,3.325619747,0.496063411,6.989307373,24.21879987,3.014948399,9.087402915,3.966113416,4.138472178,2.209543568,10.92962017,26.00143632,28.5745824,0.61549101,45.60937334,1.675444196,15.00957549,0.234067454,0.710713906,0.395254814,1.10596872,0.147888073,0.105330354,0.253218427,0.03750399,0.040695819,0.078199808,0.045749548,1.717203958
ASSAM,8451,31205576,15939443,15266133,19177977,10568639,8609338,2231321,1145314,1086007,3884371,1957005,1927366,11969690,8541560,3428130,8687123,3282567,19235886,4061627,1845346,491321,5571396,19180759,10679345,1165867,20672,54993,25949,27118,50873,1206621,2358900,100173,593484,7588998,1485505,9074503,3743725,6286859,6391073,2720548,1749752,1017971,157418,9491628,31558974,19042032,8016988,4127732,18824,3504408,239904,646410,137261,2766506,164319,1751229,3047557,143790,4131931,5598028,435455,2207938,111914,54381,536172,2116562,1095715,3782347,80246,216639,125458,716924,1699916,3489690,294581,666146,588580,1177689,1510,4311,2095,6406,834,590,1424,195,207,402,202,9944,66.30494554,56.39501503,7.185407922,7.113831643,12.27775023,12.62510945,53.5875689,22.45578497,27.83836773,10.51916811,61.64246415,13.01570912,5.913513662,1.57446541,17.85384766,61.46580662,34.22255369,0.066244571,0.083155011,0.17622812,0.086901136,0.163025352,13.29682739,25.99481206,1.103895166,6.540126771,83.62990238,16.37009762,11.99697452,20.14658855,20.48054809,8.718147039,5.607177384,3.26214456,0.504454717,70.71603485,30.41644865,101.1324835,61.02124825,25.69088294,13.22754626,0.060322553,38.61818107,2.643715033,7.123365324,1.512600745,30.48658422,19.29834615,33.58373456,1.584549589,1.810776855,61.68963744,4.798665007,24.33122784,1.233279663,0.599272489,5.908554992,23.32427462,12.07465577,41.68103752,0.884301873,2.387337356,1.382533016,7.900421654,18.73288267,38.45599037,3.246249409,7.340853819,6.486085243,12.97800001,0.01664003,0.047506734,0.023086664,0.070593398,0.009190586,0.006501733,0.015692319,0.002148878,0.002281117,0.004429995,0.002226017,0.109581759
BIHAR,8417,104099452,54278157,49821295,52504553,31608023,20896530,16567325,8606253,7961072,1336573,682516,654057,34724987,25222189,9502798,21359611,13365376,69374465,7196226,18345649,1411208,7771904,86078686,17557809,129247,23779,25453,18914,13437,252127,1528380,3098435,165521,1334565,20713342,2701332,23414674,21533037,16822947,10287996,7565444,4600511,3346072,368472,46443380,110967859,66930323,22949064,13816563,403502,9230677,323190,1534633,425705,9773448,180385,2751541,10510770,311617,4367236,18332993,396421,473855,87842,39246,438088,14358546,696238,16969091,6418,29001,256850,315111,7182893,9490650,22842,834514,567104,2267086,23749,37239,18132,55371,6168,564,6732,788,1273,2061,1576,89490,58.23341238,41.94296836,15.85583129,15.97925546,1.257441368,1.3128061,46.46839612,19.07376755,20.51846632,12.83904549,66.64248819,6.912837543,17.6231946,1.355634418,7.465845257,82.68889446,16.86637985,0.022842579,0.018169164,0.024450657,0.012907849,0.242198201,6.52744514,13.23287696,0.706911401,5.699694986,88.46308089,11.53691911,20.68506278,16.16045683,9.882853178,7.267515683,4.419342188,3.214303184,0.353961517,61.98349536,44.61443274,106.5979281,64.29459686,22.04532642,13.27246468,0.387612031,39.42261592,1.380288276,6.554150615,1.81811201,41.74069645,11.75135302,44.88967047,1.330862006,0.77039296,78.29702434,1.693045139,2.023752285,0.375157903,0.16761284,1.870997649,61.3228525,2.973511397,72.47203613,0.027410162,0.123858227,1.096961675,1.345784272,30.67688664,40.53291538,0.097554209,3.564064142,2.422002544,9.682329978,0.101427848,0.159041292,0.077438618,0.23647991,0.026342455,0.002408746,0.028751201,0.003365411,0.005436762,0.008802173,0.006730822,0.382196224
CHANDIGARH,55,1055450,580663,474787,805438,465346,340092,199086,106356,92730,0,0,0,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014,168344,231204,44283,78113,8911,289456,298367,80406,118667,114209,124707,98786,174528,20188,184265,915756,602411,303748,148945,346,135055,60494,109701,14027,148411,67323,193932,209783,47345,206017,112043,110377,1178,196,164,542,7578,45,6167,36,12,1120,1372,27384,202495,204,227354,2001,5182,893,3631,7152,10783,4285,2444,6729,3382,4461,7843,7897,34145,80.14046013,71.63043639,18.31630395,19.53086331,0,0,56.51453597,16.00233368,36.56535127,1.725046189,61.70960254,0.244256005,0.159837036,0.454687574,37.43161685,80.77824625,4.874413757,13.10616325,0.185702781,0.109905727,0.023307594,0.096072765,56.42178927,77.48980283,14.8417888,26.18017408,2.98659034,97.01340966,7.618172344,11.24326117,10.82088209,11.81552892,9.359609645,16.53588517,1.912738642,69.30607798,17.45843005,86.76450803,57.07622341,28.77900422,14.11199015,0.032782226,45.26472432,20.27503042,36.76713578,4.701257177,49.74109067,64.99780472,70.31038955,15.86804171,22.56382241,37.55207513,36.99370239,0.394815781,0.065690911,0.054965864,0.181655478,2.539825115,0.015082097,2.066917588,0.012065678,0.004021893,0.375376633,0.459836376,9.177958688,67.86776017,0.068372173,76.19944565,0.670650575,1.736787245,0.299295834,1.216957639,2.397047931,3.61400557,1.436150781,0.819125439,2.25527622,1.13350337,1.495138537,2.628641907,2.646740424,11.44395996
CHHATTISGARH,7353,25545198,12832895,12712303,15379922,8807893,6572029,3274269,1641738,1632531,7822902,3873191,3949711,12180225,7133866,5046359,8241714,3938511,13364973,4004796,5091882,187631,2895916,23819789,514998,490542,70036,70467,61510,494594,23262,628600,4231941,67820,260971,5164079,1635610,6799689,3889201,4058000,3421010,1853321,1562183,1072482,151480,8967044,24974721,15230475,6505399,3786209,23115,3428564,126332,878000,86376,1528665,146190,1760851,1726254,111213,1382706,5072438,366686,194474,9101,4881,105262,4159905,593631,3690341,39502,49823,28638,131447,3065075,1068490,13484,1161217,404092,1489285,5857,11041,8485,19526,1643,749,2392,613,956,1569,1263,30603,68.63527676,51.69817774,12.7932006,12.84213411,30.18173997,31.06998787,55.59046497,39.69665449,32.26326138,15.41781356,52.31892507,15.67729481,19.93283434,0.734505953,11.33643983,93.24566206,2.016026652,0.274165031,0.240788895,0.275852236,1.93615254,0.091062124,9.244540449,62.23727291,0.997398557,3.837984355,75.94581164,24.05418836,15.22478315,15.88556879,13.39198858,7.255066099,6.115368532,4.198370277,0.592988162,62.66413359,35.10266,97.76679359,59.62167528,25.46623048,14.82160757,0.090486674,50.42236491,1.857908501,12.91235526,1.270293391,22.48139584,25.89605201,25.38724933,1.635560097,2.14995127,74.59808824,5.392687813,2.86004257,0.133844357,0.071782695,1.548041388,61.17787152,8.730266928,54.27220274,0.580938334,0.732724688,0.421166321,1.93313253,45.07669395,15.71380691,0.198303187,17.07750163,5.942801208,21.90225171,0.086136292,0.162375073,0.124785119,0.287160192,0.02416287,0.01101521,0.035178079,0.009015118,0.014059467,0.023074585,0.018574379,0.450064701
DADRA AND NAGAR HAVELI,496,343709,193760,149949,223230,142521,80709,6186,3339,2847,178564,88844,89720,157161,119293,37868,130299,26862,186548,28164,17799,2195,109003,322857,12922,5113,217,634,1186,293,487,29101,69558,2013,6017,48221,60562,108783,24701,69140,32004,37809,22700,19655,3566,91055,300630,225103,87888,30346,372,17822,4136,18647,1706,41837,3669,34467,45973,2430,39999,40607,31255,539,251,55,433,29222,4170,32907,442,188,270,929,26605,38461,29,34001,15041,7997,431,1782,1667,3449,407,564,971,729,978,1707,235,6793,73.5554294,53.82430026,1.723265896,1.898645539,45.85260116,59.83367678,61.56740297,25.25391967,37.90968523,7.815332156,54.27498262,8.194140974,5.178508564,0.638621625,31.71374622,93.93324004,3.759575688,0.063134803,0.345059338,0.184458364,0.085246531,0.141689627,26.75142256,63.94197623,1.85047296,5.531195132,44.32769826,55.67230174,7.18660262,20.11585382,9.311365137,11.00029385,6.604424091,5.718500243,1.037505564,60.97454533,26.49188703,87.46643236,65.49232054,25.57046804,8.828980329,0.108231091,16.38307456,3.802064661,17.14146512,1.568259746,38.45913424,31.68417859,42.2611989,2.233804914,3.372769642,37.32844286,28.73151136,0.495481831,0.230734582,0.05055937,0.398040135,26.86265317,3.833319544,30.25013099,0.406313486,0.172821121,0.248200546,0.853993731,24.4569464,35.35570815,0.026658577,31.25580284,13.82660894,7.351332469,0.396201612,1.638123604,1.532408556,3.17053216,0.374139342,0.518463363,0.892602704,0.670141474,0.899037533,1.569179008,0.216026401,6.244541886
DAMAN AND DIU,989,243247,150301,92946,188406,124643,63763,6124,3151,2973,15363,7771,7592,121271,107434,13837,116435,4836,121976,2316,772,684,117499,220150,19277,2820,172,217,287,79,245,32021,59824,1684,5598,19794,70135,89929,10829,35762,38951,36042,18537,11034,2630,31376,185161,153064,66800,23027,356,18381,3561,18987,2494,45871,3652,36838,52172,3807,47233,23100,35416,594,59,29,217,6319,144,14208,12,2,304,330,13363,46134,12,45404,10910,884,1786,7262,14304,21566,8570,4888,13458,6764,8922,15686,15794,68290,82.92892263,68.60219913,2.096459771,3.198631463,5.170291615,8.168183677,71.47923168,14.88713877,47.86698294,1.988102628,50.14491443,0.952118628,0.317372876,0.281195657,48.30439841,90.50471332,7.924866494,0.070710019,0.117987067,0.089209733,0.032477276,0.100720667,35.60697884,66.52359083,1.872588375,6.224910763,22.01069733,77.98930267,4.451853466,14.70192849,16.01294158,14.81703783,7.62064897,4.536129942,1.081205524,63.2217458,12.89882301,76.1205688,62.92533926,27.46179809,9.466509351,0.146353295,20.43945779,3.959790501,21.11332273,2.773298936,51.00801744,40.9634267,58.01465601,4.233339635,4.060981441,25.6869308,39.38217927,0.660521078,0.065607312,0.032247662,0.241301471,7.026654361,0.160126322,15.79913043,0.01334386,0.002223977,0.338044457,0.366956154,14.85950027,51.30047037,0.01334386,50.48871888,12.13179286,0.982997698,1.986011187,8.075259371,15.90588131,23.98114068,9.529740128,5.435399037,14.96513917,7.521489175,9.921160026,17.4426492,17.56274394,75.93768417
